startup_inn,round,accelerator,business_angel,corp_fund,corp_investor,gov_fund,private_fund
673200456044,seed,1.0,0.0,0.0,0.0,0.0,0.0
6950198920,seed,0.0,0.0,0.0,0.0,1.0,0.0
7106021081,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7106021081,seed,0.0,0.0,0.0,0.0,0.0,1.0
7106021081,а,0.0,0.0,0.0,0.0,0.0,1.0
7106021081,в,0.0,0.0,0.0,0.0,0.0,1.0
7106021081,с+,0.0,0.0,0.0,0.5,0.0,0.5
7203449813,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7203488234,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
7447250067,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
7447250067,seed,0.0,0.5,0.0,0.0,0.5,0.0
7451278717,а,0.0,0.0,1.0,0.0,0.0,0.0
7627051053,seed,0.0,0.0,0.0,0.0,0.0,1.0
7701954054,#н/д не было подтверждения инвестиций,0.0,0.0,0.0,0.0,1.0,0.0
7701954054,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7701954054,а,0.0,0.0,1.0,0.0,0.0,0.0
7701954054,в,0.0,0.0,0.0,1.0,0.0,0.0
7702420552,seed,0.0,1.0,0.0,0.0,0.0,0.0
7702421612,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
7702430367,seed,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
7702430367,"seed
покупка токенов. не считать сделкой?",0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
7702437500,seed,0.0,0.5,0.0,0.0,0.0,0.5
7702437500,а,0.0,1.0,0.0,0.0,0.0,0.0
7702437500,в,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
7702438912,seed,0.0,1.0,0.0,0.0,0.0,0.0
7702764401,в,0.0,0.0,0.0,0.0,0.0,1.0
7702824562,а,0.0,0.0,0.0,0.0,0.0,1.0
7702824562,в,0.0,0.5,0.0,0.0,0.0,0.5
7703096683,m&a (не венчур),0.0,0.0,0.0,1.0,0.0,0.0
7703388936,m&a (не венчур),0.0,0.0,0.0,1.0,0.0,0.0
7703431250,seed,0.0,0.5,0.0,0.0,0.5,0.0
7703459471,seed,1.0,0.0,0.0,0.0,0.0,0.0
7703469695,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
7703722933,в,0.0,0.0,0.0,0.0,0.0,1.0
7703761097,а,0.0,0.0,0.0,0.0,1.0,0.0
7703802963,seed,0.0,0.0,0.0,0.0,1.0,0.0
7703821839,а,0.0,1.0,0.0,0.0,0.0,0.0
7703821839,в,0.0,0.0,1.0,0.0,0.0,0.0
7704217370,а,0.0,0.0,0.0,0.0,0.0,1.0
7704217370,в,0.0,0.0,0.0,0.5,0.0,0.5
7704217370,с,0.0,0.0,0.0,1.0,0.0,0.0
7704217370,с+,0.0,0.0,0.4,0.2,0.0,0.4
7704341063,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7704355450,seed,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
7704355450,а,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
7704386240,seed,0.0,0.0,0.0,1.0,0.0,0.0
7704386240,а,0.0,0.0,0.0,0.0,0.5,0.5
7704434913,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
7704450023,seed,0.0,0.5,0.0,0.0,0.5,0.0
7704451468,seed,0.0,0.0,0.5,0.0,0.5,0.0
7704794345,exit,0.0,0.0,0.0,0.0,0.0,1.0
7704794345,с,0.0,0.0,0.0,0.4,0.0,0.6
7704821246,с+,0.0,0.0,0.0,0.5,0.5,0.0
7704854724,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7704854724,seed,0.0,0.0,0.0,0.0,0.0,1.0
7704866529,а,0.0,0.0,1.0,0.0,0.0,0.0
7704871416,seed,0.0,0.0,0.0,0.0,1.0,0.0
7704871416,а,0.0,0.0,0.0,0.0,1.0,0.0
7704871416,в,0.0,0.0,0.0,1.0,0.0,0.0
7705017253,exit,0.0,0.0,0.0,1.0,0.0,0.0
7705698066,а,0.0,0.0,0.0,1.0,0.0,0.0
7705952996,а,0.0,0.0,0.5,0.0,0.0,0.5
7705952996,в,0.0,0.0,0.0,0.0,0.0,1.0
7705952996,с+,0.0,0.0,0.0,0.0,0.0,1.0
7705980898,seed,0.0,0.0,1.0,0.0,0.0,0.0
7706416451,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7706416451,seed,0.0,0.0,0.0,0.0,0.0,1.0
7706456380,а,0.0,0.0,0.0,0.0,1.0,0.0
7707389218,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
7707389218,seed,0.0,1.0,0.0,0.0,0.0,0.0
7707401916,а,0.0,0.0,0.0,1.0,0.0,0.0
7707770166,а,0.0,0.0,0.0,0.0,0.0,1.0
7707770166,в,0.0,0.0,0.0,0.0,0.0,1.0
7707770166,с+,0.0,0.0,0.0,0.5,0.0,0.5
7708214098,m&a (не венчур),0.0,0.0,0.0,1.0,0.0,0.0
7708274185,а,0.0,0.0,0.0,0.0,0.0,1.0
7708285250,seed,0.0,0.0,0.0,0.0,0.0,1.0
7708383699,seed,0.0,0.0,0.0,0.0,0.0,1.0
7708779588,в,0.0,0.0,0.0,0.0,1.0,0.0
7708806062,seed,0.0,0.0,0.0,0.0,0.0,1.0
7708806062,а,0.0,1.0,0.0,0.0,0.0,0.0
7709465136,а,0.0,1.0,0.0,0.0,0.0,0.0
7709495155,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7709923315,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7709947115,seed,0.0,0.0,0.0,0.0,0.0,1.0
7709951104,в,0.0,0.5,0.0,0.0,0.0,0.5
7709973919,а,0.0,0.0,0.0,0.0,0.5,0.5
7710499161,а,0.0,0.5,0.0,0.0,0.0,0.5
7710499161,в,0.0,0.0,0.0,0.5,0.0,0.5
7710499161,с+,0.0,0.0,0.0,0.0,1.0,0.0
7710718303,seed,0.0,0.0,1.0,0.0,0.0,0.0
7710876500,а,0.0,0.0,0.5,0.0,0.5,0.0
7710944648,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7713441265,pre-seed,0.0,0.5,0.0,0.0,0.0,0.5
7713441995,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7713445485,seed,0.0,1.0,0.0,0.0,0.0,0.0
7713461247,seed,0.0,0.0,0.0,0.0,0.5,0.5
7713515534,в,0.0,0.0,0.0,0.0,1.0,0.0
7714335277,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
7714339031,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7714339031,seed,0.0,0.0,0.0,0.0,0.0,1.0
7714339031,а,0.0,0.5,0.0,0.0,0.0,0.5
7714375576,exit,0.0,0.0,0.0,1.0,0.0,0.0
7714379242,а,0.0,0.0,0.0,1.0,0.0,0.0
7714420229,seed,1.0,0.0,0.0,0.0,0.0,0.0
7714420229,а,0.0,0.0,0.0,1.0,0.0,0.0
7714762021,seed,0.0,0.0,0.0,0.0,0.0,1.0
7714789489,m&a (не венчур),0.0,0.0,0.0,1.0,0.0,0.0
7714843760,exit,0.0,0.0,0.0,1.0,0.0,0.0
7715964180,exit,0.0,0.0,0.0,1.0,0.0,0.0
7715964180,seed,0.0,0.0,0.0,0.0,0.0,1.0
7715964180,а,0.0,0.0,0.0,0.0,0.0,1.0
7715964180,в,0.0,0.0,0.0,0.0,0.0,1.0
7716747371,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7716785063,seed,0.0,0.0,0.0,0.0,0.0,1.0
7716877250,seed,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
7716877250,а,0.0,0.5,0.0,0.0,0.0,0.5
7716888710,seed,0.0,0.0,1.0,0.0,0.0,0.0
7716908540,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7716908540,seed,0.0,0.0,1.0,0.0,0.0,0.0
7717670869,в,0.0,0.0,0.0,0.0,1.0,0.0
7718099790,m&a (не венчур),0.0,0.0,0.0,1.0,0.0,0.0
7718289021,а,0.0,0.0,0.0,0.0,0.0,1.0
7718299492,seed,0.5,0.5,0.0,0.0,0.0,0.0
7718936720,а,0.0,0.0,0.0,1.0,0.0,0.0
7718936720,в,0.0,0.0,0.0,1.0,0.0,0.0
7718936720,с+,0.0,0.0,0.0,0.5,0.0,0.5
7718952312,а,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
7719402047,b,0.0,0.0,0.0,0.0,1.0,0.0
7719402047,seed,0.0,0.0,0.0,0.0,0.5,0.5
7719402047,а,0.0,0.0,0.0,0.0,1.0,0.0
7719478102,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7719841661,exit учитывать?,0.0,0.0,0.0,1.0,0.0,0.0
7720335860,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7720335860,seed,0.0,0.0,1.0,0.0,0.0,0.0
7720486764,seed,0.0,0.0,0.0,0.0,0.0,1.0
7721350396,seed,0.0,0.5,0.0,0.0,0.0,0.5
7722369110,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7722388120,seed,0.0,1.0,0.0,0.0,0.0,0.0
7722388120,а,0.0,0.0,0.0,1.0,0.0,0.0
7722388120,в,0.0,0.0,0.0,1.0,0.0,0.0
7723527345,а,0.0,0.0,0.0,1.0,0.0,0.0
7723624187,b,0.0,0.0,0.0,0.0,0.0,1.0
7723624187,а,0.0,0.0,0.0,0.5,0.0,0.5
7723624187,с+,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333
7723740056,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7724421422,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7724421422,seed,0.0,0.0,0.0,1.0,0.0,0.0
7724451748,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
7724451748,seed,0.0,1.0,0.0,0.0,0.0,0.0
7724653712,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7724653712,seed,0.0,0.5,0.0,0.0,0.0,0.5
7724715856,seed,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
7724883963,seed,0.0,0.0,0.0,0.0,1.0,0.0
7725243282,exit,0.0,0.0,0.0,1.0,0.0,0.0
7725293981,а,0.0,0.0,0.0,0.0,0.0,1.0
7725319742,а,0.0,0.0,0.0,0.0,1.0,0.0
7725328391,exit,0.0,0.0,0.0,1.0,0.0,0.0
7725394394,m&a,0.0,0.0,0.0,1.0,0.0,0.0
7725745476,exit,0.0,0.0,0.0,1.0,0.0,0.0
7725805647,exit,0.0,0.0,0.0,1.0,0.0,0.0
7725805647,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7725805647,а,0.0,0.0,0.0,1.0,0.0,0.0
7726346932,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
7726346932,seed,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
7726429949,seed,0.0,0.5,0.0,0.0,0.0,0.5
7726439104,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7726440396,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7726682300,в,0.0,0.0,1.0,0.0,0.0,0.0
7727048336,seed,0.0,0.0,1.0,0.0,0.0,0.0
7727316793,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7727343660,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
7728313442,b,0.0,0.0,0.0,0.0,1.0,0.0
7728357263,pre-seed,0.0,0.0,0.0,1.0,0.0,0.0
7728434172,seed,0.0,0.5,0.0,0.0,0.0,0.5
7728439565,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7728442470,а,0.0,0.0,0.0,1.0,0.0,0.0
7728468083,seed,0.0,0.0,0.0,1.0,0.0,0.0
7728697453,exit,0.0,0.0,0.0,1.0,0.0,0.0
7728697453,в,0.0,0.0,0.0,1.0,0.0,0.0
7728760803,seed,0.0,0.5,0.0,0.0,0.0,0.5
7728760803,а,0.0,0.5,0.0,0.5,0.0,0.0
7728760803,в,0.0,0.0,0.0,1.0,0.0,0.0
7729672194,pre-seed,0.0,0.0,0.0,0.0,0.5,0.5
7729672194,seed,0.0,0.0,0.0,0.0,0.0,1.0
7729672194,а,0.0,0.0,0.0,0.0,0.0,1.0
7730217256,seed,0.0,0.0,0.0,0.0,0.0,1.0
7730217256,а,0.0,0.0,0.0,0.0,0.0,1.0
7730217256,в,0.0,0.0,0.0,0.0,0.0,1.0
7730253840,seed,0.0,0.0,0.0,0.0,0.0,1.0
7731320418,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
7731320418,seed,0.0,0.25,0.0,0.25,0.0,0.5
7731320418,а,0.0,0.5,0.0,0.5,0.0,0.0
7731323200,а,0.0,1.0,0.0,0.0,0.0,0.0
7731324003,seed,0.0,0.0,0.0,0.0,0.0,1.0
7731324003,а,0.0,0.0,0.0,0.0,0.0,1.0
7731324814,seed,0.0,1.0,0.0,0.0,0.0,0.0
7731324814,а,0.0,1.0,0.0,0.0,0.0,0.0
7731326297,seed,0.0,0.0,0.0,0.0,0.0,1.0
7731326297,а,0.0,0.0,0.0,0.0,1.0,0.0
7731327808,pre-seed,0.0,0.0,0.0,0.0,1.0,0.0
7731340252,b,0.0,0.0,0.0,0.0,0.0,1.0
7731340252,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
7731340252,seed,0.0,0.0,0.0,0.5,0.0,0.5
7731340252,а,0.0,0.0,0.0,0.0,0.0,1.0
7731340252,с+,0.0,0.0,0.0,0.0,0.5,0.5
7731341810,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7731363059,exit,0.0,0.0,0.0,1.0,0.0,0.0
7731465565,seed,0.0,1.0,0.0,0.0,0.0,0.0
7731465565,а,0.0,0.0,0.0,0.0,0.0,1.0
7731465565,в,0.0,0.0,0.0,0.5,0.0,0.5
7731465565,с+,0.0,0.0,0.0,0.0,0.5,0.5
7731476895,seed,0.0,0.0,0.0,0.0,0.0,1.0
7731476895,а,0.0,0.0,0.0,0.0,0.0,1.0
7731476895,в,0.0,0.0,0.0,0.0,0.5,0.5
7733323742,pre-seed,0.0,0.5,0.0,0.0,0.0,0.5
7733327426,seed,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
7733327426,а,0.0,0.5,0.0,0.0,0.0,0.5
7733888439,seed,1.0,0.0,0.0,0.0,0.0,0.0
7734370287,а,0.0,0.5,0.0,0.0,0.0,0.5
7734370287,в,0.0,0.0,0.0,0.0,1.0,0.0
7734370287,с+,0.0,0.0,0.0,0.0,1.0,0.0
7734387717,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7734387717,а,0.0,0.5,0.0,0.0,0.0,0.5
7734387717,в,0.0,0.25,0.25,0.25,0.0,0.25
7734414216,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
7734675810,в,0.0,0.0,0.0,0.0,0.0,1.0
7736227885,а,0.0,0.0,0.0,0.0,0.0,1.0
7736245612,seed,0.0,0.0,0.0,0.0,0.0,1.0
7736245612,а,0.0,0.0,0.5,0.0,0.0,0.5
7736245612,в,0.0,0.0,0.5,0.0,0.0,0.5
7736668576,seed,0.0,0.0,0.0,1.0,0.0,0.0
7743137030,pre-seed,0.0,0.5,0.0,0.0,0.0,0.5
7743137030,seed,0.0,0.5,0.0,0.0,0.0,0.5
7743148803,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7743154821,а,0.0,0.5,0.0,0.5,0.0,0.0
7743156868,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7743172676,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
7743172676,seed,0.5,0.0,0.0,0.0,0.5,0.0
7743172676,а,0.0,0.0,0.0,0.0,0.5,0.5
7743254865,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7743254865,seed,0.0,0.0,0.0,0.0,1.0,0.0
7743945510,seed,0.0,0.0,0.0,0.0,0.0,1.0
7743945510,а,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
7743945510,в,0.0,0.0,0.0,0.0,1.0,0.0
7743945510,с+,0.0,0.0,1.0,0.0,0.0,0.0
7801624934,seed,0.5,0.0,0.0,0.0,0.0,0.5
7801633625,а,0.0,0.0,1.0,0.0,0.0,0.0
7811581905,seed,0.0,0.0,0.0,1.0,0.0,0.0
7811620914,а,0.0,1.0,0.0,0.0,0.0,0.0
7811628102,pre-seed,0.0,0.0,0.0,1.0,0.0,0.0
7811628102,а,0.0,0.0,0.0,1.0,0.0,0.0
7813268991,seed,1.0,0.0,0.0,0.0,0.0,0.0
7826707808,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7838080688,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7839117549,c,0.0,0.0,0.0,1.0,0.0,0.0
7840071433,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
7841021393,а,0.0,0.5,0.0,0.0,0.0,0.5
9701010853,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9701010853,seed,0.0,0.5,0.5,0.0,0.0,0.0
9701010853,а,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
9701010853,в,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
9701050670,а,0.0,0.0,0.0,1.0,0.0,0.0
9701078611,exit,0.0,0.0,0.0,1.0,0.0,0.0
9701078611,seed,0.0,0.0,0.0,0.0,0.0,1.0
9701082953,seed,1.0,0.0,0.0,0.0,0.0,0.0
9701082953,а,0.0,0.0,0.0,1.0,0.0,0.0
9701114958,b,0.0,0.5,0.0,0.0,0.0,0.5
9701114958,seed,0.0,0.5,0.0,0.0,0.0,0.5
9701114958,а,0.0,0.5,0.0,0.0,0.0,0.5
9701117860,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9701122420,а,0.0,1.0,0.0,0.0,0.0,0.0
9701125082,а,0.0,0.0,0.0,0.0,0.0,1.0
9701140612,в,0.0,0.0,0.0,0.0,0.5,0.5
9701161411,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9703001100,seed,0.0,1.0,0.0,0.0,0.0,0.0
9703019107,seed,0.0,1.0,0.0,0.0,0.0,0.0
9705034527,с+,0.0,0.0,0.0,1.0,0.0,0.0
9705040880,seed,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
9705083740,seed,0.0,0.0,0.0,1.0,0.0,0.0
9705100963,seed,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
9705116956,pre-seed,0.5,0.0,0.0,0.0,0.5,0.0
9705118142,seed,0.0,1.0,0.0,0.0,0.0,0.0
9705118142,а,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
9705118142,в,0.0,1.0,0.0,0.0,0.0,0.0
9705118142,с+,0.0,0.5,0.0,0.5,0.0,0.0
9705121931,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
9705135839,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9705135839,seed,0.0,0.0,0.0,0.0,1.0,0.0
9705135839,а,0.5,0.0,0.5,0.0,0.0,0.0
9709036130,а,0.0,0.0,0.0,1.0,0.0,0.0
9710003595,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9710003595,seed,0.0,0.5,0.0,0.0,0.0,0.5
9710011437,а,0.0,0.0,0.0,0.0,0.0,1.0
9710011437,в,0.0,0.0,0.0,0.0,0.0,1.0
9710017196,а,0.0,0.0,0.0,1.0,0.0,0.0
9710030158,seed,0.0,0.5,0.0,0.0,0.0,0.5
9710030158,а,0.0,0.5,0.0,0.0,0.0,0.5
9710039680,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9710039680,seed,0.0,0.0,0.0,0.0,0.0,1.0
9715225506,exit,0.0,0.0,0.0,1.0,0.0,0.0
9715257096,seed,0.0,1.0,0.0,0.0,0.0,0.0
9715317764,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
9715317764,seed,0.0,0.5,0.0,0.0,0.25,0.25
9715353018,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
9715353018,seed,0.0,0.5,0.0,0.0,0.0,0.5
9715353018,а,0.0,0.5,0.0,0.0,0.5,0.0
9717038903,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
9717038903,seed,0.0,0.5,0.5,0.0,0.0,0.0
9717038903,а,0.0,0.0,0.0,1.0,0.0,0.0
9717045940,seed,1.0,0.0,0.0,0.0,0.0,0.0
9718084074,seed,0.0,0.0,0.0,0.0,0.0,1.0
9718097274,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9721019999,seed,0.0,0.5,0.0,0.0,0.5,0.0
9721065811,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9725016100,pre-seed,0.0,0.5,0.0,0.0,0.0,0.5
9725029780,pre-seed,0.0,1.0,0.0,0.0,0.0,0.0
9725029780,seed,0.0,0.5,0.0,0.0,0.0,0.5
9729069737,seed,0.0,1.0,0.0,0.0,0.0,0.0
9729069737,а,1.0,0.0,0.0,0.0,0.0,0.0
9729116955,seed,0.0,0.0,0.0,0.0,0.0,1.0
9729116955,а,0.0,1.0,0.0,0.0,0.0,0.0
9729237371,exit,0.0,0.0,0.0,1.0,0.0,0.0
9731001888,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
9731003081,seed,0.0,0.0,0.0,0.5,0.0,0.5
9731004720,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9731012079,а,0.0,0.0,0.0,0.0,0.0,1.0
9731019758,seed,0.0,0.0,0.0,0.0,0.0,1.0
9731019765,а,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
9731019765,в,0.0,0.5,0.0,0.0,0.0,0.5
9731029594,seed,1.0,0.0,0.0,0.0,0.0,0.0
9731049287,seed,0.0,1.0,0.0,0.0,0.0,0.0
9731049287,а,0.0,1.0,0.0,0.0,0.0,0.0
9731055900,в,0.0,0.0,0.0,0.5,0.0,0.5
9731061661,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
9731061661,seed,0.0,0.5,0.0,0.0,0.0,0.5
